49587, 0, 49587, 25823
49587, 0, 49587, 25822
49586, 0, 49586, 25821
49586, 0, 49586, 25820
49585, 0, 49585, 25818
49585, 0, 49585, 25818
49585, 0, 49585, 25817
49584, 0, 49584, 25816
49584, 0, 49584, 25815
49584, 0, 49584, 25815
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
53737, 11115, 53737, 53737
53737, 11134, 53737, 53737
53737, 11153, 53737, 53737
53737, 11172, 53737, 53737
53737, 11193, 53737, 53737
53737, 11212, 53737, 53737
53737, 11231, 53737, 53737
53737, 11250, 53737, 53737
53737, 11270, 53737, 53737
53737, 11290, 53737, 53737
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 39475, 22411, 39475
0, 53737, 0, 5749
0, 53737, 0, 5747
0, 53737, 0, 5743
0, 53737, 0, 5740
0, 53737, 0, 5736
0, 53737, 0, 5734
0, 53737, 0, 5732
0, 53737, 0, 5728
0, 53737, 0, 5726
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
53737, 53737, 53737, 53737
